indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2023,,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2022,0.2408,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2021,0.2449,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2020,0.2314,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2019,0.1992,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2018,0.2143,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2017,0.2808,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2016,0.5085,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2015,0.1917,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2014,0.2529,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2013,0.0558,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2012,0.0232,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2011,0.02,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2010,0.0699,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2009,0.0379,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2008,0.027,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2007,0.0866,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2006,0.1051,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2005,0.0685,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2004,0.0844,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2003,0.0397,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2002,0.0525,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2001,0.1856,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,2000,0.0992,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1999,0.0863,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1998,0.138,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1997,0.0545,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1996,0.0513,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1995,0.0578,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1994,0.1059,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1993,0.0642,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1992,0.0417,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1991,0.0963,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1990,0.0674,,,1
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),Togo,TGO,1989,0.0385,,,1
