indicator,country,countryiso3code,date,value,unit,obs_status,decimal
Combustible renewables and waste (% of total energy),Togo,TGO,2023,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2022,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2021,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2020,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2019,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2018,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2017,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2016,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2015,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2014,44.1332084819761,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2013,44.1339149109469,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2012,44.0525490250074,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2011,42.6595343335715,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2010,41.6811851674944,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2009,40.4978096271898,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2008,45.7263492140328,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2007,46.9567325655129,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2006,47.1445267967864,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2005,46.1685179118416,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2004,45.6523331272048,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2003,45.0175956601662,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2002,46.403400822082,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2001,46.877041448949,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,2000,45.6252700479833,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1999,44.3869883138391,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1998,45.079303649957,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1997,46.7543700006066,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1996,44.9375489344741,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1995,48.6174035406728,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1994,49.4318536911534,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1993,54.324676785394,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1992,52.944599023252,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1991,51.7755782821881,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1990,51.337038092524,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1989,83.5995796111403,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1988,83.5688913767441,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1987,82.7910002168221,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1986,83.2179215472396,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1985,87.8866076072838,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1984,86.9013777418178,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1983,87.5453409824479,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1982,82.9920173884064,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1981,84.8807724703132,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1980,84.1826166584256,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1979,82.4157603286342,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1978,83.5409643161827,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1977,83.8371745348855,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1976,86.9438370841223,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1975,84.8365184126612,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1974,86.4738424582339,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1973,85.6696646316952,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1972,83.5540923154435,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1971,83.6084611965826,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1970,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1969,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1968,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1967,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1966,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1965,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1964,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1963,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1962,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1961,,,,1
Combustible renewables and waste (% of total energy),Togo,TGO,1960,,,,1
