FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_creation_date,geometry
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46d0,Plateaux,Wawa,Wawa 1,Tomégbé,KPETE BENA,Forêt classée des Deux Bena,Nsp,"MULTIPOLYGON (((0.6402866912649157 7.598392552226026, 0.6507331470136135 7.594887004299956, 0.6563176188678445 7.587136505675209, 0.6568918915589389 7.585170995256224, 0.6139297197511815 7.424091506943052, 0.6085951285111206 7.4256136737699565, 0.6074459346395865 7.432918728931113, 0.6010994149904708 7.4572551426625715, 0.5959536595939284 7.464759914890751, 0.600989448864586 7.477415746316092, 0.6027142348310639 7.4867303051375504, 0.604864782491395 7.499370475980749, 0.6079761816032607 7.511357464746753, 0.6089782438227826 7.514103820412479, 0.608900974331154 7.5282139287072445, 0.6075325173036067 7.536632154576597, 0.6008412997159769 7.551111999591662, 0.602032192454366 7.556498782612563, 0.6026974785797907 7.5606742457145675, 0.6048284190389598 7.562394839993311, 0.6037389738479011 7.565877823731843, 0.6051492875758616 7.569701787029567, 0.606272005790954 7.572154874788852, 0.6077055972793381 7.57246115806724, 0.6086482697745277 7.575032618449132, 0.6097108833814089 7.577545057833325, 0.610782391681309 7.5784461584629765, 0.6107741638671513 7.579938139704646, 0.612861672792738 7.580964179720518, 0.6135208216325034 7.5807290722192615, 0.6141687926430569 7.582523062810372, 0.6237935582056722 7.5832322601439435, 0.6402866912649157 7.598392552226026)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46d1,Maritime,Zio,Zio 1,Gblainvié,GLAINVIE KPETSI,Yohoeve,1884,"MULTIPOLYGON (((1.1897983333333333 6.460094999999999, 1.1897516666666665 6.46056, 1.1892366666666667 6.460395, 1.1892383333333332 6.460268333333333, 1.1897983333333333 6.460094999999999)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46d2,Centrale,Tchaoudjo,Tchaoudjo 3,Kéméni,KEMENI,Forêt classée de Kemeni,Nsp,"MULTIPOLYGON (((1.2557018792588794 9.262849860556166, 1.256864856428971 9.263186092043773, 1.2581966526253479 9.263027285849917, 1.2600283803684023 9.262705618062228, 1.2615314247171965 9.261555918300274, 1.2623681600546457 9.26056826499191, 1.2625410286338685 9.259246819385032, 1.2622196550160953 9.256931264178869, 1.2607353245181128 9.254279498181816, 1.2589182788708593 9.251626114458858, 1.2591000896877746 9.248486576591434, 1.2569462830917473 9.246657981333469, 1.2551203417007792 9.245822681232749, 1.2514611457184361 9.245639584262749, 1.2501326844418181 9.245137254710862, 1.2494704975595126 9.244472886989104, 1.248310859242033 9.243475522037315, 1.2473233127040653 9.24132200419808, 1.245669516487884 9.239330515364394, 1.2450188038540246 9.23635221978794, 1.2435264862379303 9.235353220549374, 1.2413703859100629 9.234020399981521, 1.2390528698384884 9.231695075766963, 1.2365706720067628 9.229038366809943, 1.2344187509604791 9.22687911927687, 1.2342622638870533 9.224894950006966, 1.233941890956542 9.222414125955304, 1.2322866043842577 9.22075316244533, 1.2312983777878157 9.218764907075, 1.2303134534178337 9.216115534487122, 1.2298308736236772 9.212807499198917, 1.2291803058724562 9.209829204711507, 1.2278577816830174 9.208169870145763, 1.22586907160684 9.206672536001735, 1.2245358500580443 9.207161816817077, 1.2241940851645765 9.208978241988122, 1.222193823029492 9.209794787814177, 1.2208589324148171 9.210614608367935, 1.2201836240177095 9.212594659469714, 1.2210120436054106 9.213259882849343, 1.2216633680322875 9.216072901529756, 1.223484926261847 9.217734722106306, 1.22513437112768 9.22055266618462, 1.2251228060172779 9.222866566287799, 1.224282785254662 9.224515245868078, 1.2247702676112804 9.22683160885952, 1.2269163369694513 9.230147853793888, 1.2297262179315254 9.233797929907075, 1.2315421261620025 9.236616685432937, 1.2333539412920398 9.24026183251611, 1.2343380990787225 9.243076489414523, 1.2368113038123527 9.247551300451926, 1.2389600550904816 9.25037167567204, 1.2416128658106345 9.252202813360212, 1.2442689861457772 9.253372816346499, 1.2469169373324223 9.256195605015108, 1.250727885923638 9.259354629604832, 1.2557018792588794 9.262849860556166)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46d3,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Forêt classée de Sotouboua,1952,"MULTIPOLYGON (((0.9755195628458924 8.554419961419848, 0.9757659063138953 8.555168685388908, 0.9775205797944849 8.554679574470407, 0.9795281690282529 8.5536934847563, 0.9830492937619563 8.550472961646642, 0.9863239957372364 8.54650367116064, 0.9865886652561527 8.543764434958787, 0.9883667822730405 8.538790736883053, 0.9926541515820732 8.53258428046326, 0.9956782996027591 8.528613553997566, 0.999690523841388 8.527139370238281, 1.0032060526174171 8.524915134685205, 1.005479209402239 8.520940429303735, 1.0077523127400734 8.51696569902948, 1.0100266499175936 8.51274180007094, 1.0115758326863529 8.503531154046138, 1.0116130761403286 8.496305971829413, 1.0139102637776405 8.48759740383604, 1.0147070941218324 8.478632012396869, 1.016245629670818 8.471414437818092, 1.0150084642056463 8.468667483131894, 1.0120196355284619 8.465911619897783, 1.0075127682135192 8.466386964852568, 1.0024989988682522 8.46810541292186, 0.9984861576191106 8.469828917112038, 0.9964752130433804 8.471562648529725, 0.9926970504917345 8.476277062446787, 0.9886439117642016 8.485723804393063, 0.9865899655075941 8.495679090717516, 0.9815679352503398 8.498891994998397, 0.975556570107226 8.499857359504942, 0.9727408668878591 8.511801664106144, 0.9706954292562386 8.52001276179245, 0.9681453687412854 8.528968615318465, 0.9656017430127259 8.536678737026621, 0.9683271201352429 8.541925056350927, 0.9717955125077091 8.548670132148088, 0.9755195628458924 8.554419961419848)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46d4,Centrale,Blitta,Blitta 1,Blitta,BLITTA GARE,Tchorogo,1945,"MULTIPOLYGON (((0.9662173745718045 8.352939388940904, 0.9669855437965217 8.355143136132833, 0.9682672407173235 8.357990223403895, 0.9718704958175417 8.363173276684275, 0.9720963856539687 8.369630140827638, 0.9721085101945283 8.36965152639247, 0.9734889068340138 8.369164618408076, 0.9757326606102152 8.370971159854728, 0.9826939847194436 8.375494387972587, 0.9874069929126907 8.379108543552741, 0.9905359881950929 8.384060887596762, 0.9932236338257258 8.387215920643019, 0.9945858845684624 8.385203410938878, 0.9982402783263647 8.375573514410437, 1.0021243225451855 8.365047165334907, 1.0071493991667555 8.351609476318922, 1.0094376159411445 8.34466506363998, 1.0085409895649624 8.343763020114332, 1.0047132933240328 8.343294998069783, 0.9979522599818121 8.343709666811975, 0.991669327402831 8.338741463439423, 0.9860624144404706 8.333776628250757, 0.9802315174725275 8.328586225006173, 0.9755110194351168 8.326542756761619, 0.9725708522380637 8.328771554941612, 0.9720971781692853 8.333256732624514, 0.9711775413424675 8.336842106294153, 0.9682303109540671 8.340417086805912, 0.9675405363658127 8.343106100702288, 0.966381589794654 8.349382765716726, 0.9662173745718045 8.352939388940904)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46d5,Centrale,Sotouboua,Sotouboua 2,Séssaro,BOSINAMBO,Forêt classée Aou-mono,1954,"MULTIPOLYGON (((1.2649476720254984 8.667155497984409, 1.2661404565570327 8.664226979888705, 1.265902611610085 8.66148488238731, 1.2676702612195825 8.658253509714369, 1.267681660270181 8.655761723748203, 1.2646825706966103 8.65450221073369, 1.2626919508809946 8.651752159859228, 1.260959754638922 8.647258996984844, 1.2627330579961993 8.642781749516061, 1.2639998350077475 8.639548108001618, 1.2645211209896998 8.635065164829564, 1.2637904694457118 8.630576552353148, 1.2600552695045444 8.626074329152171, 1.2600689562236411 8.623084193068163, 1.2628470122087332 8.617863920013955, 1.2638610169006441 8.615127483541864, 1.2633750513756998 8.61188589878914, 1.26012251512698 8.611372822059408, 1.2621493528437129 8.606149135238612, 1.2621748835416975 8.600550707840219, 1.260685816098174 8.597670279411501, 1.2586795169516276 8.598408759324071, 1.2559061669792901 8.602632313197338, 1.2541239338245573 8.609102978664387, 1.2528480825567936 8.614330013435087, 1.2498436364570253 8.61431634027005, 1.2485780226294976 8.617300755266406, 1.244551372923471 8.621767636448181, 1.243539514840461 8.624005638196751, 1.2400123318869798 8.628723911908915, 1.240503856301289 8.630719611619847, 1.2374842674365132 8.633945089495096, 1.2337134768302767 8.637167071668104, 1.231447256361153 8.639897593461567, 1.2289422483739436 8.640135201060696, 1.2249372667978535 8.639867487782295, 1.22068074790838 8.639847743567941, 1.2171695327509904 8.64107730830629, 1.2129094970070762 8.641804989370717, 1.2084073084903804 8.640787252856656, 1.2024075917491022 8.638765742657384, 1.1996593246390732 8.637506963808605, 1.1959036476129772 8.63748930196901, 1.1911393424122934 8.6389618884502, 1.1873753364779749 8.640688315784177, 1.1838807654244523 8.638429207005434, 1.1803754888052704 8.638412577729794, 1.176359887037926 8.640386864985135, 1.1698404705994359 8.642349145723099, 1.161810284567226 8.646048242995356, 1.154279517033844 8.64999871695079, 1.148254562621558 8.653208797549084, 1.1414881526068308 8.654421820916484, 1.1357158907491758 8.657134561520701, 1.1299447914933767 8.659598037457537, 1.1241600447215487 8.664802155987395, 1.1188833570027075 8.668513671789388, 1.1158613224193468 8.67198706391434, 1.1158451739868085 8.675226110145477, 1.1155798684158171 8.67821476164374, 1.1158190748310512 8.680458414374215, 1.117059868722128 8.682707014876616, 1.1203113102170956 8.683470550077871, 1.1230681672019236 8.682985803410267, 1.1283351795787486 8.681267539438839, 1.1320911479089066 8.68128595534622, 1.1360999830683924 8.680807237853376, 1.140367803713049 8.678585571227948, 1.1441298921091785 8.677358056129236, 1.1463883592530046 8.676372365022582, 1.1481362532947073 8.677377523871046, 1.1508955102697296 8.676394234141734, 1.1544083827525735 8.674916229482475, 1.1569074942712891 8.675924983830747, 1.1598916402467294 8.680175267008357, 1.1616298929401219 8.683173685355257, 1.1648802978421842 8.684186024203735, 1.1668726450535136 8.686438142398725, 1.1723707351306119 8.68870708599263, 1.1746244158031056 8.688717889002945, 1.1771405463621931 8.686238217722629, 1.1791606381761548 8.682759466194083, 1.1831791249903931 8.680286909801245, 1.1861851810776052 8.680052044634017, 1.1896884655572353 8.68056703550951, 1.1929413594797094 8.681080809684536, 1.1946763336355197 8.68482663724139, 1.1974225077523861 8.686583853288987, 1.1999266183772421 8.686595688361775, 1.2046915503434044 8.685123111344023, 1.205449891051516 8.683631629549366, 1.2097080484605731 8.683402472566257, 1.2129669260019693 8.682670231803238, 1.2152312214174188 8.6804382464409, 1.2164938580061044 8.678201560561588, 1.2187534055990459 8.67696623123795, 1.2215102355663325 8.676480736378885, 1.2235263824611313 8.673749171549913, 1.2245326886531276 8.672757141718165, 1.226534764189609 8.673015626794273, 1.229290398407942 8.672779241041495, 1.2305470950492208 8.671788353089726, 1.2335577864320189 8.670556399320704, 1.2358114347755023 8.67056681891403, 1.2370553287820405 8.67231682207743, 1.239052780238848 8.6735719409582, 1.2415649760397889 8.671839261053556, 1.2435717075036739 8.671100957340402, 1.2465754374428755 8.67136394485689, 1.2495849447601008 8.67038102951904, 1.2511000657348557 8.667646975622581, 1.2543622421798861 8.666166807220144, 1.2561081857467502 8.667669874585746, 1.258609956226837 8.668179653975054, 1.2621168028512444 8.667946444484869, 1.2649476720254984 8.667155497984409)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46d6,Centrale,Blitta,Blitta 3,Pagala-Village,OBLAOMI,Forêt classée de Mont Balam,Nsp,"MULTIPOLYGON (((0.9194515802400616 8.273365052900086, 0.920536457624039 8.275114402775479, 0.9216179139225502 8.277517622706858, 0.9248977445917397 8.277970605438457, 0.9281889850519532 8.276243984705852, 0.9308271937016936 8.273860055513243, 0.9325867398737241 8.272125449539972, 0.9367542633424668 8.270185304623798, 0.9406950287898646 8.269769696595317, 0.9435383755307287 8.27000230099244, 0.9455008581091477 8.271320189606381, 0.9472513169230516 8.271329184550128, 0.9507635022786025 8.269167541263844, 0.9523075256115698 8.266777816239147, 0.9503540359280553 8.263716272538588, 0.9492724030335842 8.261313095304446, 0.9495002094391404 8.259570529040529, 0.9506122091704262 8.256088754762688, 0.951940734173441 8.253044013668614, 0.9526263108325498 8.247380370912886, 0.9533051227410274 8.243024490750733, 0.9537516735797886 8.241283030170223, 0.9559541423256155 8.238460680345936, 0.9579243766455605 8.23825274558381, 0.9607675424960622 8.238485175186511, 0.9625189888458132 8.23827610513361, 0.9645003674500832 8.235888504467637, 0.9655998857503062 8.234804234399434, 0.9653977917890042 8.231533674064755, 0.9673802245428108 8.228928082321685, 0.9673902258361649 8.22696640858545, 0.9702533024923519 8.223275397949463, 0.9715826298220486 8.2200125593825, 0.9704953675225942 8.218699253649088, 0.9705064489119817 8.216519610816535, 0.9707429514538302 8.21303328508279, 0.9718589747520102 8.208679509120405, 0.9742776689809857 8.206294010802631, 0.9727628186711931 8.203016833874083, 0.9697188007704665 8.199296016656355, 0.9675499111393208 8.195579601212795, 0.9656086798718582 8.190120575343572, 0.9649534911027229 8.189899302023795, 0.962337180041781 8.18814234590455, 0.9621306096714299 8.185743643125488, 0.9599429855379177 8.18573259435479, 0.957527714916213 8.187464129857442, 0.9562017945881021 8.190073037448757, 0.9544427768229851 8.191807868106652, 0.9522529009903006 8.192232693682419, 0.9513678053098782 8.194189908149134, 0.9520096050453113 8.197026747388655, 0.9508979090129445 8.200508578520356, 0.9460794006113057 8.201573883600298, 0.9406135515519826 8.200892087512553, 0.9316463483268965 8.200410231969265, 0.9294778599966035 8.196693697421848, 0.9268605962140587 8.195154497624827, 0.9224853456405893 8.195131980497944, 0.9183198004512713 8.196854204103515, 0.9156855696831627 8.198584296832328, 0.9150213293986833 8.200106600649448, 0.9143184225748096 8.20903942946174, 0.9123415342524731 8.210554918821504, 0.9111918161513423 8.221229094967532, 0.9081118265103619 8.22448250335006, 0.9080878132791163 8.229059570689971, 0.9076101946624127 8.236685732385908, 0.9058186522702849 8.244522986388692, 0.9046833754745072 8.2523636461194, 0.9015938300217519 8.25736056098768, 0.9013612165261522 8.259974865567898, 0.9079078478649715 8.263278562734694, 0.9142277871471769 8.268106730124984, 0.9194515802400616 8.273365052900086)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46d7,Centrale,Blitta,Blitta 3,Atchintsè,ASSOUKOKO,Forêt classée Assoukoko,Nsp,"MULTIPOLYGON (((0.621268086055565 7.90223219608415, 0.62001202234072 7.905514645758622, 0.6195925424388576 7.906745855690428, 0.6195453504826758 7.914969591768906, 0.6178460520018924 7.923595081880066, 0.6157460479031769 7.9301622520164115, 0.6123967714178975 7.938778210314439, 0.6132050208355317 7.941661235609962, 0.6135984577148397 7.94495307839846, 0.6110785922563371 7.952751346194629, 0.6031823149363477 7.962985701573932, 0.6027435364722007 7.967506304420846, 0.6023047336690877 7.972026903044359, 0.5993814839432133 7.978177869926735, 0.5984964774384003 7.988452559660708, 0.5989017476184366 7.9896884930749525, 0.6017915342297657 7.9892940785756, 0.603853954186106 7.98930604091216, 0.6050818155211767 7.990957936899242, 0.6058924013282653 7.993429803989833, 0.6054679174854899 7.9954833177014715, 0.6029545292787348 8.002047841411123, 0.6000309398320076 8.008198744313141, 0.600419353732131 8.012312935701427, 0.6020477048318611 8.016023154641596, 0.6024337137491608 8.020548530364623, 0.6003445988553759 8.02505948126044, 0.5965859820978788 8.032850187587078, 0.5928344644858453 8.039407285960166, 0.5952902682050678 8.042711198106973, 0.5969186059198459 8.046421454403504, 0.5972947867436152 8.052591529761889, 0.595605762116287 8.059160686371188, 0.5918611658458972 8.064484165914308, 0.5897618292044282 8.070639651899231, 0.5893053546399767 8.078038361521962, 0.5901085294691315 8.0817437966535, 0.5917246603075541 8.087509973798912, 0.5904649342454437 8.09120324355595, 0.5904453813757742 8.094492638728488, 0.5895835122618213 8.100655376022171, 0.5903523930970803 8.110117257931961, 0.589883408707146 8.119571813860981, 0.5914921686045184 8.12657154767247, 0.596018746128463 8.128654291902837, 0.6009873396095812 8.125805313229517, 0.6067859887439864 8.122138752716596, 0.6113272447345935 8.121754254751979, 0.6117593117932079 8.118467235436274, 0.6113661359586228 8.115175371490347, 0.6138854905096135 8.107788631588539, 0.6135140951524946 8.100796135574274, 0.6160308295937693 8.093820522375132, 0.6168995140421323 8.086424058063315, 0.6194063908305538 8.08109311023917, 0.6202556518474868 8.076986078762, 0.6202869594929428 8.071640689697343, 0.6223714661430291 8.067952020859074, 0.6256840271432405 8.065915249198577, 0.6289893702747323 8.0651120006416, 0.6314719647241714 8.06389276319667, 0.6323114563566379 8.06143040832068, 0.6335730573135538 8.057325678661368, 0.6331820016643417 8.053622604574786, 0.6294761626189044 8.052367597296387, 0.6290947025532284 8.047019782890606, 0.6295454881191721 8.040443171391614, 0.6300081580232266 8.031810615663384, 0.6296337838480894 8.025229237803023, 0.6300701420668969 8.021119736618589, 0.6313434179165021 8.014959035580464, 0.6334321526219965 8.010447809894702, 0.638818549208258 8.00636665465966, 0.6417203314359834 8.00391602614124, 0.6413385674658654 7.99856817820189, 0.6405324748245177 7.995273932898687, 0.6405513836781639 7.991984401372349, 0.6426516360957389 7.985417099768047, 0.6414401158406293 7.980886932080055, 0.6414636984920514 7.976775012032734, 0.641501404639399 7.970195938118868, 0.6415320172370942 7.964850438899111, 0.6411548482104955 7.95868020826471, 0.6420103397663285 7.953339393962478, 0.6457295213391867 7.952126881752601, 0.6482159977643732 7.950084934456165, 0.6498751963634978 7.948449493814658, 0.651140634270638 7.9435221465314765, 0.6519912419397498 7.939003652990629, 0.649129824465209 7.9344641953596176, 0.6487407528602221 7.930349914046074, 0.646699602197574 7.926637510621523, 0.6409466143400019 7.922904108758105, 0.6393203292626054 7.918782840371387, 0.6393390644805594 7.915493299654947, 0.6389383507682646 7.913435002407329, 0.636051420270303 7.913418652913553, 0.6360373537867565 7.915885802869996, 0.6335675263693319 7.915049386916661, 0.6302822770015053 7.912563514181613, 0.6274165367788046 7.9088464042049145, 0.6270205840575065 7.905965736027391, 0.6270346862419829 7.903498601065979, 0.621268086055565 7.90223219608415)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46d8,Centrale,Blitta,Blitta 1,Blitta,YOU,Forêt classée de You,Nsp,"MULTIPOLYGON (((0.984806538622707 8.308145082874265, 0.9852973426638927 8.308165998844645, 0.9869664159323005 8.308416539431045, 0.9898111412794949 8.308849781564332, 0.9920509265397707 8.309145455630542, 0.9924203297042214 8.302965388617864, 0.9928706322056737 8.30054402927594, 0.9934132815808404 8.300564204760159, 0.9935222236577533 8.299797353091687, 0.9933744825100693 8.297860666464812, 0.9932437169446378 8.296028710982267, 0.9938035242192034 8.296056166996136, 0.9938018943477981 8.295426695097163, 0.9937008224616297 8.295382940631967, 0.9943908169694986 8.293285872367395, 0.9948642467486403 8.291499864320219, 0.9940844194127555 8.291329288439714, 0.9938448620840064 8.292100145072355, 0.9890385587090118 8.291889343046256, 0.9858234868155866 8.291842014256066, 0.9849833568932487 8.297435309468431, 0.9849103034487647 8.299518468616517, 0.984831219755639 8.302783299426887, 0.9847191657955049 8.30639003420032, 0.984806538622707 8.308145082874265)))"
_mview_forets_zones_protegees.fid-7b1c8a4a_193e3fcb1e6_46d9,Kara,Kéran,Kéran 1,Kantè,ATTETOU,Forêt classée Behao,1954,"MULTIPOLYGON (((1.0433364795261209 9.925076109059237, 1.044003337558544 9.923558111809497, 1.0431378626760217 9.921596345482472, 1.0416171675024815 9.919195927358077, 1.0409735666864146 9.916800630100811, 1.0394541968300994 9.91418280394638, 1.0385952277483903 9.911134010945581, 1.0394942439579393 9.907443252286962, 1.0392878955298674 9.905267922526615, 1.038864870162044 9.902656502841712, 1.0375596522245147 9.900909580758094, 1.0344965170981342 9.899804612703612, 1.0327450557428657 9.899359538008149, 1.0312011937599488 9.900872375455354, 1.0305291614508105 9.903259961948622, 1.0300724838797355 9.906301042498102, 1.0291785666296964 9.90912214215889, 1.0287244563648947 9.911728408957671, 1.029140900500586 9.915426844285063, 1.0321872742576206 9.91935813483956, 1.0341477316290189 9.921543750438364, 1.035660596091301 9.925248619065176, 1.0382802286432784 9.927220672312561, 1.0406870845210276 9.928104404402886, 1.041789928146243 9.927023789244872, 1.0433364795261209 9.925076109059237)))"
