"indicateur","secteur","type","Unit","Date","Value"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Total","Total","Gg","2018","40843.34"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Total","Dioxyde de carbone (CO2)","Gg","2018","38783.08"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Total","Méthane(CH4)","Gg","2018","1926.89"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Total","mnooxydes d’azote (N2O)","Gg","2018","133.37"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Energie","Total","Gg","2018","2517.92"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Energie","Dioxyde de carbone (CO2)","Gg","2018","2007.05"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Energie","Méthane(CH4)","Gg","2018","434.87"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Energie","mnooxydes d’azote (N2O)","Gg","2018","76"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Procédés Industriels et Utilisation des Produits (PIUP)","Total","Gg","2018","2480.79"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Procédés Industriels et Utilisation des Produits (PIUP)","Dioxyde de carbone (CO2)","Gg","2018","1095.63"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Procédés Industriels et Utilisation des Produits (PIUP)","Méthane(CH4)","Gg","2018","1385.16"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Procédés Industriels et Utilisation des Produits (PIUP)","mnooxydes d’azote (N2O)","Gg","2018","0"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Agriculture, Foresterie et autres Affectations des Terres (AFAT)","Total","Gg","2018","35830.45"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Agriculture, Foresterie et autres Affectations des Terres (AFAT)","Dioxyde de carbone (CO2)","Gg","2018","35677.83"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Agriculture, Foresterie et autres Affectations des Terres (AFAT)","Méthane(CH4)","Gg","2018","95.52"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Agriculture, Foresterie et autres Affectations des Terres (AFAT)","mnooxydes d’azote (N2O)","Gg","2018","57.1"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Déchets","Total","Gg","2018","14.18"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Déchets","Dioxyde de carbone (CO2)","Gg","2018","2.57"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Déchets","Méthane(CH4)","Gg","2018","11.34"
"Evolution des émission de GES directs par secteur et par type de gaz de  2018","Déchets","mnooxydes d’azote (N2O)","Gg","2018","0.27"
