"indicateur","libellés","villes","Unit","Date","Value"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M1","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M2","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M3","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M5","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M8","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M11","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2013M12","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M1","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M2","38"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M3","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M8","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2014M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M1","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M2","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M3","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M5","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M7","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M8","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M9","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M11","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2015M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2016M1","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2016M2","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2016M3","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2016M4","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2016M5","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2016M6","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Lomé","°C","2016M7","30"
